date,user,text,sentiment,Clean_Text
2025-05-20,PopCultureFan,OMG did you see the new trailer for 'Cosmic Chronicles'?! I'm screaming! 🤩 #CosmicChronicles #TrailerDrop,positive,omgdidyouseethenewtrailerforcosmicchroniclesimscreamingcosmicchroniclestrailerdrop
2025-05-20,NewsWatcher,Another day another senseless tragedy. My heart breaks for everyone affected. 💔 #PrayFor[CityName],negative,anotherdayanothersenselesstragedymyheartbreaksforeveryoneaffectedprayforcityname
2025-05-20,SportsAnalyst,The game was a nail-biter. Not the best performance but they pulled out the win. #SportsTalk #GameDay,neutral,thegamewasanailbiternotthebestperformancebuttheypulledoutthewinsportstalkgameday
2025-05-20,HappyVibesOnly,Just got the most amazing news! Feeling incredibly blessed today. ✨ #GoodVibes #Blessed,positive,justgotthemostamazingnewsfeelingincrediblyblessedtodaygoodvibesblesse
2025-05-20,ExhaustedHuman,My boss just dropped a huge project on me with a ridiculous deadline. Send coffee and strength. 😩 #WorkLife #Burnout,negative,mybossjustdroppedahugeprojectonmewitharidiculousdeadlinesendcoffeeandstrengthworklifeburnout
2025-05-20,FoodieAdventurer,Tried that new fusion restaurant everyone's talking about. It was... interesting. #FoodReview #MixedFeelings,neutral,triedthatnewfusionrestauranteveryonestalkingaboutitwasinterestingfoodreviewmixedfeeling
2025-05-20,PetLoverGoals,My dog just did the cutest thing! My heart can't handle it. 🥰 #DogsofTwitter #Cutie,positive,mydogjustdidthecutestthingmyheartcanthandleitdogsoftwittercutie
2025-05-20,CommuterLife,Stuck in traffic for an hour already. Why is every morning like this?! 😡 #CommuteHell #TrafficJam,negative,stuckintrafficforanhouralreadywhyiseverymorninglikethiscommutehelltrafficjam
2025-05-20,TechObserver,The new phone release seems to be a minor upgrade. Not revolutionary. #TechNews #NewGadget,neutral,thenewphonereleaseseemstobeaminorupgradenotrevolutionarytechnewsnewgadget
2025-05-20,SelfCareQueen,Spent the day focusing on self-care and feeling so recharged! 🛀 #SelfCareSunday #MentalHealth,positive,spentthedayfocusingonselfcareandfeelingsorechargedselfcaresundaymentalhealth
2025-05-20,PoliticalDebate,Can't believe what I'm reading in the news today. The audacity! 🤦‍♀️ #Politics #Facepalm,negative,cantbelievewhatimreadinginthenewstodaytheaudacitypoliticsfacepalm
2025-05-20,MusicLover,Listening to this new album on repeat. It's decent background noise. #NewMusic #Playlist,neutral,listeningtothisnewalbumonrepeatitsdecentbackgroundnoisenewmusicplaylist
2025-05-20,TravelDreams,Just booked my dream vacation! So excited for this adventure! ✈️ #TravelGoals #Wanderlust,positive,justbookedmydreamvacationsoexcitedforthisadventuretravelgoalswanderlust
2025-05-20,StudentStruggles,My laptop just crashed and I lost 3 hours of essay work. I'm done. 😭 #StudentLife #TechFail,negative,mylaptopjustcrashedandilosthoursofessayworkimdonestudentlifetechfail
