date,user,text,clean_text
2025-05-20 17:51:45+00:00,elonmusk,"RT @SawyerMerritt: NEWS: Elon Musk's company, Neuralink, has now successfully implanted its brain chip into five humans. The patients can c…",sawyermerritt news elon musk company neuralink successfully implant brain chip five human patient
2025-05-20 16:24:03+00:00,elonmusk,RT @StateDept: “This notion that somehow we have to accept anyone who wants to come to the United States is absurd and no country in the wo…,statedept notion somehow accept anyone wants come united states absurd country
2025-05-20 16:21:31+00:00,elonmusk,@GuntherEagleman True,gunthereagleman true
2025-05-20 16:19:56+00:00,elonmusk,Interview https://t.co/UCPQph03Pg,interview
2025-05-20 16:19:04+00:00,elonmusk,"RT @AssaadRazzouk: China added a phenomenal 60GW of solar in Q1 as rooftop installations surged to 36GW

60GW is more than the total instal…",assaadrazzouk china add phenomenal solar rooftop installation surge total instal
2025-05-20 16:18:04+00:00,elonmusk,@JessePeltan A miniature pet woolly mammoth would be 🔥🔥,jessepeltan miniature pet woolly mammoth would
2025-05-20 16:17:03+00:00,elonmusk,RT @Tesla: Putting @Cybertruck to work,tesla put cybertruck work
2025-05-20 15:57:58+00:00,elonmusk,lmao https://t.co/NLewn340J0,lmao
2025-05-20 15:57:06+00:00,elonmusk,@amitisinvesting 😂,amitisinveste
2025-05-20 14:51:51+00:00,elonmusk,https://t.co/W3KiZLs7Sj,
2025-05-20 14:50:30+00:00,elonmusk,@Awk20000 @Asmongold @Twitch @YouTube @KickStreaming @LSF_Forwarder @DramaAlert @Dexerto 😂,awk asmongold twitch youtube kickstreaming lsfforwarder dramaalert dexerto
2025-05-20 14:46:31+00:00,elonmusk,Almost all countries are experiencing birth rate collapse https://t.co/Z2AessW9DX,almost country experience birth rate collapse
2025-05-20 14:40:44+00:00,elonmusk,"We are coming for those who organized the violence &amp; death threats against Tesla. 

Remember this statement. https://t.co/hBHGFzVPty",come organize violence amp death threat tesla remember statement
2025-05-20 14:36:36+00:00,elonmusk,"This is so cool 😎 

Make your espresso on the road while your Tesla drives itself 🤌

 https://t.co/dnh1F2Wuig",cool make espresso road tesla drive
2025-05-20 14:28:20+00:00,elonmusk,Yes https://t.co/cmxZd4fTz1,yes
2025-05-20 14:23:27+00:00,elonmusk,RT @Teslarati: https://t.co/FPfHM5QYKl,teslarati
2025-05-20 14:22:31+00:00,elonmusk,@memechaotic 😂,memechaotic
2025-05-20 14:14:43+00:00,elonmusk,@ProtesterLone @tomselliott True,protesterlone tomselliott true
2025-05-20 14:11:28+00:00,elonmusk,"Congrats WSJ on your new name of BSJ!

BS is so much more accurate.",congrat wsj new name bsj much accurate
2025-05-20 14:00:33+00:00,elonmusk,@Teslarati Cool,teslarati cool
2025-05-20 13:59:56+00:00,elonmusk,"RT @iam_smx: That uplifting moment when a SpaceX employee met Elon Musk, gave him a hug, and shared his optimism about the upcoming Starshi…",iamsmx uplifting moment spacex employee meet elon musk give hug share optimism upcoming starshi
2025-05-20 13:59:12+00:00,elonmusk,"RT @cb_doge: 🚨 Elon Musk on DOGE:

""The ability of Doge to operate is a function of whether the government, and this includes the Congress,…",cbdoge elon musk doge ability doge operate function whether government include congress
2025-05-20 12:50:10+00:00,elonmusk,"RT @MarioNawfal: STARLINK: JAPAN COAST GUARD GETS WIRED UP

Starlink flipped the switch for the Japan Coast Guard—high-speed internet on th…",marionawfal starlink japan coast guard get wire starlink flip switch japan coast guardhighspeed internet
2025-05-20 06:27:33+00:00,elonmusk,"RT @teslaownersSV: Do you support Elon Musk ?

We do.
He’s making the greatest change, and yet he is facing the most attack. He should be c…",teslaownerssv support elon musk he s make great change yet face attack
2025-05-20 06:25:21+00:00,elonmusk,"RT @iam_smx: Starship Test Flight 9 could launch as early as Tuesday, May 27th.

More updates soon. https://t.co/C3Lg3hUjDa",iamsmx starship test flight could launch early tuesday may update soon
2025-05-20 06:22:16+00:00,elonmusk,@RadioEuropes !!,radioeurope
2025-05-20 04:35:37+00:00,elonmusk,"RT @techdevnotes: ""Microsoft and xAI are thrilled to unveil the availability of Grok 3 and Grok 3 Mini into the Azure AI Foundry Models""

T…",techdevnote microsoft xai thrill unveil availability grok grok mini azure foundry model
2025-05-20 04:33:13+00:00,elonmusk,Colossus 2 will be the first Gigawatt AI training supercluster https://t.co/HPjEeqg3be,colossus first gigawatt training supercluster
2025-05-20 04:31:01+00:00,elonmusk,RT @teslaownersSV: 🚨 BREAKING: Gaming content on 𝕏 hit 34 BILLION video views in 2024. 🎮🔥 https://t.co/hAAMdmqADd,teslaownerssv break gaming content hit billion video view
2025-05-20 04:30:42+00:00,elonmusk,"RT @MarioNawfal: 🇺🇸 TESLA DOMINATES MARCH EV SALES

Tesla registered over 51,000 EVs in March—more than 6x its nearest competitor. 

Despit…",marionawfal tesla dominate march sale tesla register evs marchmore near competitor despit
